"Name","Id","Rarity","Description"
"Pizza","2b534260-c141-489d-b10a-3568797c3122",1,"Michelangelo's favorite food, dude."
"Triforce of Courage","ddc7b8c2-fab2-4283-b337-18c0834f0fd0",4,"You have acquired the Triforce of Courage!"
"Miniature Giant Space Hamster","9836e7fc-c20c-4338-832c-7e08ce8e842f",3,"Boo is always judging!"
"Fire Flower","59255448-5488-44e0-8f42-b233309d72d9",1,"Throw balls of actual fire. Literally."
"Skinny Guys","81fa3dd6-0ed7-4692-9df0-537c0b30f7e9",3,"You may be fragile, but you're quick!"
"Chocobo","2029b7f0-67ae-4a77-920f-29b8d1201402",3,"You are a master breeder! Gold chocobos bow at your feet."
"Crowbar","b81cc166-ace6-4db6-b3d0-25a87edfff43",1,"Gordon Freeman's weapon of choice."
"Mushroom","9d310763-e48f-4bc2-a1f3-946d08bcaa2f",1,"Maybe edible mushroom."
"Princess","cf0ebcce-9e6b-4b18-9d96-41fa2bb1eaec",3,"A kiss from her majesty that turns a frog into her prince."
"Hadouken","73a7eee2-6dd1-4d67-a466-326eaf744401",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Varia Suit","7cb43602-c19c-4643-a625-92a4af3ab10c",3,"Sleek pant suit offering significant protection from foes."
"Charizard","c3254a21-8362-4cbb-a744-da06c3db9675",2,"It's hard to be a diamond in a rhinestone world."
"Pokeball","813f3511-1dd5-4900-9856-1fe2c9b363a8",2,"Gotta catch 'em all!"
"Hard Knuckle","6f26ff0e-5838-4dfe-9235-1f1a84975c60",2,"Mega Man face punch."
"Rail Gun","04ab747a-7b72-442f-9b2f-a7cbffe793e8",3,"Fires depleted uranium slugs at high velocity."
"Green Shell","d491c1ff-59a8-4054-8829-89d8c054c1da",1,"Throw at opponent to deliver a good thump on the head."
"Pizza","7b4c1c87-a6c7-42fe-bdf7-7cdc8b7e26b5",1,"Michelangelo's favorite food, dude."
"Pokeball","6f856a43-b86c-4cb1-961c-f557be93d659",2,"Gotta catch 'em all!"
"Crowbar","2032a00a-9cdc-4f82-9e0a-f27fa7e896a5",1,"Gordon Freeman's weapon of choice."
"Red Shell","d755b165-79e1-47d2-916a-9ff3cdbfd17c",1,"Toss ahead of you to unsuspecting victim."
"Master Sword","e91c641b-52fa-4e98-b79b-5634ca92d956",3,"It's dangerous to go alone!"
"Fire Flower","b10ed201-c580-4a9f-a18f-9de4aa8a93e5",1,"Throw balls of actual fire. Literally."
"Chocobo","d27d3eed-2121-41ea-96cc-8737c24df8e5",3,"You are a master breeder! Gold chocobos bow at your feet."
"Portal Nun","48a1f5ea-a3d9-4f4a-8d7d-921fdf5da11e",3,"The Jonathan Dexter Legacy."
"Pizza","1ce2aa83-502f-4155-a14f-b4d58d2dcb9a",1,"Michelangelo's favorite food, dude."
"Master Sword","8d5134f5-0b12-4a8a-8960-55215c8aa2f8",3,"It's dangerous to go alone!"
"Biggs","e009328f-4f88-4669-a27c-a28f34b0dd00",1,"Red Wing soldier that bolsters your confidence."
"UUDDLRLRBA","cac4ee68-ada8-42a8-9e21-41be2b360463",1,"Konami Code always gives a nice boost."
"Da Da Da Da Daaa Da DAA da da","42d6b893-dbbb-495c-a96a-6663d33273c3",2,"The victory song that delivers a sweet reward."
"Red Shell","fa700399-1fb6-4752-9867-4b7d5877e2c1",1,"Toss ahead of you to unsuspecting victim."
"Blue Shell","415cf2b0-e515-4082-875f-5063fc8dd5a9",3,"Mighty Koopa shell that displaces the leader of the pack."
"Morph Ball","67c7f7da-e837-488b-a3bc-b56a5c75d6ff",3,"Transform into a sphere that passes two players."
"Pizza","80ddcdc2-54c9-491f-b351-44600da04011",1,"Michelangelo's favorite food, dude."
"Miniature Giant Space Hamster","e7acdde3-8158-464b-bbb2-2ee2f0afb08a",3,"Boo is always judging!"
"Carbuncle","0e344e2c-3bdf-48c9-9574-12967f9a625e",3,"Fairy creature that uses its red eye to temporarily reflect harm."
"Master Sword","33373620-0cc9-4049-a6dc-054b28bc12d4",3,"It's dangerous to go alone!"
"Crowbar","d534cfbf-1bcf-4c48-8594-3ebb40bd4b21",1,"Gordon Freeman's weapon of choice."
"Rail Gun","97f9766b-d479-46a6-9d42-3c4231db4b9f",3,"Fires depleted uranium slugs at high velocity."
"Banana Peel","ecad6646-160f-4fdd-bfd3-d0ef10f0b373",1,"Person behind you 50% chance -100 points"
"Crowbar","3becd986-c8f1-46a6-b6b0-0882c153b92a",1,"Gordon Freeman's weapon of choice."
"Da Da Da Da Daaa Da DAA da da","fb72bf44-2517-4e54-98a7-4c8b186c4d5e",2,"The victory song that delivers a sweet reward."
"Biggs","9c4b5e88-c1ab-44bb-974d-6d22293dcbb6",1,"Red Wing soldier that bolsters your confidence."
"Star","1a35ef6a-f5b6-4976-b93b-c6846f0f45e6",3,"A celestial object that creates temporary invincibility."
"Mushroom","25b1d584-6e0f-4ef5-adc8-283b33a486da",1,"Maybe edible mushroom."
"Moogle","289ca4c0-26cd-4d72-ad28-7aa29bcd28cb",2,"Kupo! Your luck is temporarily increased."
"UUDDLRLRBA","d6a394f3-defb-4b18-9db0-7d32045888b0",1,"Konami Code always gives a nice boost."
"Charizard","34501be5-a28e-4c40-a696-3c454c7ce47a",2,"It's hard to be a diamond in a rhinestone world."
"Cardboard Box","bcb5facb-1876-44cd-9449-42916c72a14e",2,"Shhh. You can't see me."
"Mushroom","96f0719f-71d3-4678-a07e-69673fd4e1c4",1,"Maybe edible mushroom."
"Biggs","69aa10fe-a225-4672-a4ff-d99bbebd0d33",1,"Red Wing soldier that bolsters your confidence."
"Da Da Da Da Daaa Da DAA da da","439026c3-3c00-4b68-9338-6459da1f29d6",2,"The victory song that delivers a sweet reward."
"Get Over Here","9351b413-d7ae-461e-8ce3-265d862ebf13",3,"Chance to cuddle up to your opponent. Serious snuggles."
"Roger Wilco","29706b55-b2cb-4145-a7ce-97ff20e21f50",3,"You defeated aliens with this handy plunger!"
"Pizza","f104f44f-bb21-46ae-b994-a4723ad46ed1",1,"Michelangelo's favorite food, dude."
"Holy Water","7652741c-a6d1-428e-bb29-c11a82a5ce87",2,"Throw at the floor to release temporary holy flames."
"Bo Jackson","97c554a0-3ed3-4fdb-b842-a5cb1b0841d0",1,"TOUCHDOWN!"
"SPNKR","dea8f0d8-d5a1-4f5e-be2a-98adb5ae5c69",3,"Heavy weapon that has questionable aim."
"Holy Water","082b531d-c55f-41b5-86f9-368d4f21b187",2,"Throw at the floor to release temporary holy flames."
"Buffalo","c4e1274a-6087-4ef5-80ee-ba730c60d069",2,"Absolutely not dying from dysentery today!"
"Treasure Chest","985eb9e2-969f-4fa5-ac8c-289c5a1fb5d3",3,"Bountiful treasure chest containing three new items."
"Fat Guys","30e520a2-5a6b-48c5-9086-e5c9fc3210b6",3,"You may be slow, but you're solid!"
"Moogle","056c6c67-7ff3-4553-ab7f-ee81d3c1f3f5",2,"Kupo! Your luck is temporarily increased."
"Red Crystal","69839258-821e-45cf-920d-a89d0b8dfd89",3,"You have the power of tornadoes! Take that Deborah Cliff."
"Pokeball","dcdad1cd-1d32-413b-96fc-5be4337fa0b5",2,"Gotta catch 'em all!"
"Cardboard Box","6dde0b67-0458-443e-a11e-9eb9885a270d",2,"Shhh. You can't see me."
"Get Over Here","e627b5f4-2f9d-4fcc-8d64-9fc09bdef238",3,"Chance to cuddle up to your opponent. Serious snuggles."
"Roger Wilco","d33e973d-ed98-4ecc-8f5f-f9ae3873320c",3,"You defeated aliens with this handy plunger!"
"Mushroom","e92ddd7f-69d4-4099-be99-1cd015f7b0be",1,"Maybe edible mushroom."
"Moogle","9448f54c-5b4e-4de0-93d9-224ae5789d90",2,"Kupo! Your luck is temporarily increased."
"Red Shell","4826c0c5-95fa-4987-ad4c-56f326a71941",1,"Toss ahead of you to unsuspecting victim."
"Red Shell","7ad0a72e-9fb7-4e4e-8b8a-6681bbbba4a5",1,"Toss ahead of you to unsuspecting victim."
"Holy Water","091fa99a-ac3b-45fd-9620-da6f52b7d06d",2,"Throw at the floor to release temporary holy flames."
"Fat Guys","34e7a780-f44e-4b35-aee0-36eebde730ec",3,"You may be slow, but you're solid!"
"Pokeball","23c89550-9f19-4b57-b3a2-a5206fd75bf3",2,"Gotta catch 'em all!"
"Cardboard Box","ffc18613-3db8-453c-a358-ba5a5ab1e07d",2,"Shhh. You can't see me."
"Hard Knuckle","6f5ae60c-078f-46fd-9a92-ce942660905d",2,"Mega Man face punch."
"Charizard","d6007e36-7b22-4f10-a0a6-6f9dfa167b84",2,"It's hard to be a diamond in a rhinestone world."
"Hadouken","9743c3a5-bc41-42a8-822e-2fb428eeccb4",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Moogle","ab2072a9-4bc1-4d92-a274-ede2a454ba87",2,"Kupo! Your luck is temporarily increased."
"Pandora's Box","fb25cfd8-ae8e-400b-82fc-fb3bd75672fe",3,"What's in here? OH NOES!"
"Red Crystal","96b8a205-6776-4c3d-85f4-c5a5a1ec97ad",3,"You have the power of tornadoes! Take that Deborah Cliff."
"Box of Bees","e2f46f6f-6368-4525-b222-087fea3c115d",3,"The Brian Bell Legacy."
"Princess","6930d14a-6d92-4d53-bcf6-6fc24da346c6",3,"A kiss from her majesty that turns a frog into her prince."
"Fus Ro Dah","2a89a092-ea0b-4a62-8e22-cb9405dc5af4",3,"Dragon shout that silences the target."
"Moogle","d3465150-2b62-42a5-b59b-90edf2313827",2,"Kupo! Your luck is temporarily increased."
"Gold Ring","e344a902-a8c4-47ed-8d35-eefb20058bbd",2,"Shiny ring that provides temporary protection from damage."
"Charizard","16bd0b1c-d65b-4795-823f-aca61c7f004a",2,"It's hard to be a diamond in a rhinestone world."
"Star","178b525f-acba-4883-9220-400d5c51675f",3,"A celestial object that creates temporary invincibility."
"Wedge","d26ddb01-5e82-4def-b653-f7681d26de52",1,"Red Wing soldier that bolsters your confidence."
"Green Shell","ffa3bb9d-e050-47ff-b502-b85ebbcf9a58",1,"Throw at opponent to deliver a good thump on the head."
"Warthog","e65c8d28-308d-470a-a1ab-b6fcd38ff369",2,"Recon vehicle that temporarily increases speed."
"Wedge","53d6008b-73fd-4585-90b3-34639ae9f963",1,"Red Wing soldier that bolsters your confidence."
"Charizard","c11c9253-819a-4f88-b008-f4c50925187f",2,"It's hard to be a diamond in a rhinestone world."
"Varia Suit","dad22587-809d-4580-81e2-8fb73e867e53",3,"Sleek pant suit offering significant protection from foes."
"Crowbar","4c5eade2-f1d1-4480-ae94-11aca9c842e8",1,"Gordon Freeman's weapon of choice."
"Da Da Da Da Daaa Da DAA da da","c4bfcf72-094f-423a-8efe-a33347375604",2,"The victory song that delivers a sweet reward."
"Bo Jackson","0949648b-4892-434a-962e-2bc01b0aa945",1,"TOUCHDOWN!"
"Varia Suit","30abc640-5104-494b-8c29-c1c2e8772d2d",3,"Sleek pant suit offering significant protection from foes."
"Pony","816470c1-e857-4f55-8814-1b6f4e7abbef",3,"You are a casual gaming princess! Now harvest those crops, your majesty."
"Green Shell","23512bb1-2ae9-4f26-a10b-170500b42010",1,"Throw at opponent to deliver a good thump on the head."
"Holy Water","bc1c118d-0d1a-4d89-a6a3-8d1e760c1e3c",2,"Throw at the floor to release temporary holy flames."
"Bullet Bill","77ca928e-4da6-431b-a35e-5df65ce97803",3,"Catapult ahead of the competition."
"Moogle","b941cd64-c346-40f0-b248-c41051b66aba",2,"Kupo! Your luck is temporarily increased."
"Cardboard Box","41bb095a-835b-42f1-95a2-9fb6a2eb5253",2,"Shhh. You can't see me."
"Fire Flower","c2a52072-bad0-4369-802a-c94864d75afa",1,"Throw balls of actual fire. Literally."
"Hadouken","f74dbb35-3da1-48a1-9017-3ed6c516b18e",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Tanooki Suit","19187dfa-ba30-4446-bb86-82243eda4f8e",2,"Adorable suit that provides temporary protection from attacks."
"Morph Ball","b45d7883-9109-44fc-a47a-c775ae08d1ff",3,"Transform into a sphere that passes two players."
"Wedge","d87d2f90-f302-4c68-ba88-873c3ac24758",1,"Red Wing soldier that bolsters your confidence."
"Pokeball","675933e7-a453-4238-b1d4-e0eed50df4e6",2,"Gotta catch 'em all!"
"Warthog","42bf78b0-ae83-4694-80e1-87584f0d44b3",2,"Recon vehicle that temporarily increases speed."
"Gold Ring","d00564e6-762d-40c0-9bc1-3aa6a12e8fa5",2,"Shiny ring that provides temporary protection from damage."
"Carbuncle","c030fbc7-65ad-434d-8095-42839fb21665",3,"Fairy creature that uses its red eye to temporarily reflect harm."
"Morph Ball","90a17201-ae3b-4b0e-8479-1bf99b9876f6",3,"Transform into a sphere that passes two players."
"Da Da Da Da Daaa Da DAA da da","1bb095f0-a9df-4e2d-8cfe-bfdca8bde59d",2,"The victory song that delivers a sweet reward."
"Hard Knuckle","e5681565-bc50-4cbf-b521-d31b3f6cab51",2,"Mega Man face punch."
"Get Over Here","41ab0e83-c855-4de8-b537-5f7b0612b90c",3,"Chance to cuddle up to your opponent. Serious snuggles."
"Red Shell","e276c401-c0fb-44a4-b1c7-5b1c655cd711",1,"Toss ahead of you to unsuspecting victim."
"Pizza","aa078f29-ac86-4245-94e5-dea13084a791",1,"Michelangelo's favorite food, dude."
"Mushroom","8acc51bc-e1d7-4ac9-9be6-4c32e58de03c",1,"Maybe edible mushroom."
"Roger Wilco","1a4642be-5162-4e88-ab4d-2251a5627aca",3,"You defeated aliens with this handy plunger!"
"Tanooki Suit","e1de046b-3b66-4664-89dc-54a4b97c3d6b",2,"Adorable suit that provides temporary protection from attacks."
"Pizza","95a154cc-c348-4f91-a811-d9afc43c0efc",1,"Michelangelo's favorite food, dude."
"Holy Water","f8995fe7-e3aa-4090-92f6-d1f311fa3f24",2,"Throw at the floor to release temporary holy flames."
"Tanooki Suit","6ea3bbf9-fc4c-4cbf-a0a4-74b7d1e489fb",2,"Adorable suit that provides temporary protection from attacks."
"Fire Flower","b7d387c6-a8d3-4b7e-887c-ea99c5453467",1,"Throw balls of actual fire. Literally."
"Moogle","b25fb20b-cb83-4d19-a5e4-984b82507f0e",2,"Kupo! Your luck is temporarily increased."
"Pizza","dcdb77a6-b115-45df-81eb-94cee9838743",1,"Michelangelo's favorite food, dude."
"Gold Ring","b8938bd8-c8de-4c34-b8d7-a6a0e184d824",2,"Shiny ring that provides temporary protection from damage."
"Chocobo","6651b88c-1fcd-4e2a-93a3-c5cc51b4c75a",3,"You are a master breeder! Gold chocobos bow at your feet."
"Banana Peel","497cfc06-0834-4678-8cc6-8cb6c08ec9fe",1,"Person behind you 50% chance -100 points"
"Morger Beard","282ea22b-170d-48aa-821f-6a47b2205b7a",3,"A protective beard that is flowing and majestic."
"Warthog","e14f1756-f604-432d-b4b1-8a5d267942e7",2,"Recon vehicle that temporarily increases speed."
"Red Shell","ea54bc91-e811-495c-bdd9-1e0d3411cdcd",1,"Toss ahead of you to unsuspecting victim."
"Rail Gun","a65125e7-53a4-46f8-8911-2639215491c0",3,"Fires depleted uranium slugs at high velocity."
"Cardboard Box","f5453463-3bd4-4941-ac6a-5204c68f87a7",2,"Shhh. You can't see me."
"Banana Peel","656894b2-7f70-4b1b-a1b8-0b5b25372728",1,"Person behind you 50% chance -100 points"
"Holy Water","782272dd-2090-4723-9b99-739af5b438cd",2,"Throw at the floor to release temporary holy flames."
"Bo Jackson","c984f0bd-7d64-479b-a773-8c26549760aa",1,"TOUCHDOWN!"
"Hadouken","15a78b20-171c-4753-b14d-773f5b086e3c",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Buffalo","3d1a4cb6-03dc-4c1a-81b4-aa34d7aa0c76",2,"Absolutely not dying from dysentery today!"
"Banana Peel","b0ce897f-bee9-4f87-89ca-d7b268ddb58c",1,"Person behind you 50% chance -100 points"
"Green Shell","c21eaffe-e9fc-4729-bf7d-7fda0db2403e",1,"Throw at opponent to deliver a good thump on the head."
"Rush the Dog","af410a3b-b6d0-4e24-9826-45d84eaad8bf",3,"Loyal canine sidekick that can boost a hero's spirit."
"Red Shell","562cbde8-8898-4e89-8f2f-d659113ff992",1,"Toss ahead of you to unsuspecting victim."
"Hadouken","4b8928f2-c23d-4a22-bcd0-c02b0f71ca54",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"UUDDLRLRBA","e3e64e65-67cb-4a8c-ae30-6e85fed5c492",1,"Konami Code always gives a nice boost."
"Gold Ring","4d9cddc8-3151-4f2b-ae26-42bd1549e5d0",2,"Shiny ring that provides temporary protection from damage."
"Fus Ro Dah","dcedeca4-62e6-4fb4-b9be-c91cee363b32",3,"Dragon shout that silences the target."
"Banana Peel","1ec5e770-1508-43ae-834c-29111225d944",1,"Person behind you 50% chance -100 points"
"Biggs","3d88ef11-dc1f-48ea-aced-d920baa89786",1,"Red Wing soldier that bolsters your confidence."
"Fire Flower","e2aa443a-6dbf-4e58-84c6-f95f20945afa",1,"Throw balls of actual fire. Literally."
"Fat Guys","6ad2ac3a-86fc-43e4-a2b4-7d75972d2865",3,"You may be slow, but you're solid!"
"Wedge","e5c56391-078b-4fa5-a3cb-5df5e3e55e0e",1,"Red Wing soldier that bolsters your confidence."
"Cardboard Box","e3f2e5cf-6336-4eee-b3c4-beed1de4401f",2,"Shhh. You can't see me."
"Pony","5bf8d90a-a938-4946-b6f8-1f5dc40412ea",3,"You are a casual gaming princess! Now harvest those crops, your majesty."
"Fire Flower","db74b818-f900-4125-90b2-c46b308d9dda",1,"Throw balls of actual fire. Literally."
"Pandora's Box","f415e73d-68dd-485b-8149-0b9e8e990812",3,"What's in here? OH NOES!"
"Charizard","f4c6d01e-bb0b-4aed-907a-b977d89fc2cb",2,"It's hard to be a diamond in a rhinestone world."
"Moogle","7c8b8c79-dd3a-48e8-8c1d-0decc5919a62",2,"Kupo! Your luck is temporarily increased."
"Da Da Da Da Daaa Da DAA da da","6b6ee1b5-3fb5-45be-b82d-607aba475d9c",2,"The victory song that delivers a sweet reward."
"Fus Ro Dah","61ad365e-abc3-40f4-8455-49cee7d1976f",3,"Dragon shout that silences the target."
"Pizza","a70429b8-0f8a-4992-af32-941d7856524a",1,"Michelangelo's favorite food, dude."
"Bo Jackson","b3400b2e-ad20-4c2c-97e3-af91fcf22ac6",1,"TOUCHDOWN!"
"Star","30c76688-7c07-4e1c-bac3-f37a4916997d",3,"A celestial object that creates temporary invincibility."
"Warthog","fb4ba9e9-c516-4251-9aae-7394f490d228",2,"Recon vehicle that temporarily increases speed."
"Buster Sword","faa5c9b2-9474-42e9-bda3-39a04bc6ab9c",3,"Save Aeris!! ... too soon?"
"Tanooki Suit","4eda6c6d-f0e1-4e5f-9fb3-fd91fbd943ba",2,"Adorable suit that provides temporary protection from attacks."
"Green Shell","0f677fba-752b-45da-be3f-1e2e085a2b6c",1,"Throw at opponent to deliver a good thump on the head."
"Buffalo","2cf04f0e-1429-4493-9e72-d398e19aaedf",2,"Absolutely not dying from dysentery today!"
"Holy Water","148945f3-aa7c-499c-84e2-f282d3f3eb4e",2,"Throw at the floor to release temporary holy flames."
"Treasure Chest","d2935250-2383-474e-9b43-e8da861c383b",3,"Bountiful treasure chest containing three new items."
"Hadouken","18379958-7579-4c1a-ad7c-be246081e7f4",2,"Burst of energy that pulses through the target and results in temporary after shocks."
"Roger Wilco","d629be28-140b-401f-8c89-3e286cc65143",3,"You defeated aliens with this handy plunger!"
"Red Shell","d579cd11-75df-401d-bdb3-158fcdcc2eb9",1,"Toss ahead of you to unsuspecting victim."
"Bo Jackson","2117ef74-1bf0-4827-8832-78c080822a9b",1,"TOUCHDOWN!"
"Warthog","00711384-b4cb-48db-be9c-bf70779b25fe",2,"Recon vehicle that temporarily increases speed."
"Crowbar","761f78f7-e261-41a4-9801-d4b975e56331",1,"Gordon Freeman's weapon of choice."
"Mushroom","36658c4e-12e3-4e50-8334-eb7f10287f2d",1,"Maybe edible mushroom."
"Mushroom","06a0d9b7-851b-45bc-8684-499f2cef66fa",1,"Maybe edible mushroom."
"Tanooki Suit","3eee97fb-a30d-42a6-95e0-171315e28cab",2,"Adorable suit that provides temporary protection from attacks."
"Crowbar","0044b76b-7cdb-42da-9ee8-21490054caf2",1,"Gordon Freeman's weapon of choice."
"Holy Water","f4ac641d-aceb-429a-9243-33058672d5de",2,"Throw at the floor to release temporary holy flames."
"Gold Ring","03ba3561-df07-440a-8f18-ecd9f1052643",2,"Shiny ring that provides temporary protection from damage."
"Fire Flower","84170aed-2dd9-4052-bef5-2fcf448bfcdb",1,"Throw balls of actual fire. Literally."
"Charizard","20d0256c-a628-4349-b646-e55a183bdfc6",2,"It's hard to be a diamond in a rhinestone world."
"Crowbar","76d7a87b-62ea-4eec-b04e-81c1b91530aa",1,"Gordon Freeman's weapon of choice."
"Charizard","f2cc2aad-edd6-4132-8a4a-90f498f17e37",2,"It's hard to be a diamond in a rhinestone world."
"Wedge","dfcefc38-15f2-465b-b14a-472a832cfa4a",1,"Red Wing soldier that bolsters your confidence."
"Blue Shell","a593087c-1f2a-4b83-ae19-ee6d8bfdd744",3,"Mighty Koopa shell that displaces the leader of the pack."
"Tanooki Suit","c9f7b04b-79d2-4568-a1bf-cda7854e0213",2,"Adorable suit that provides temporary protection from attacks."
"Mushroom","0946baf0-f531-4292-bacc-6830e3c42477",1,"Maybe edible mushroom."
"Cthulhu","64b8427e-c6b8-4412-957b-bf6b196f7734",4,"This can't be good..."
"Mushroom","293a6d3f-f4eb-4bae-92bc-095ce8e8c042",1,"Maybe edible mushroom."
"Hard Knuckle","7a9cf852-103c-4702-ba20-e85a6b7c856f",2,"Mega Man face punch."
"Holy Water","20a7fcad-f739-43e9-a79b-ef42995022ed",2,"Throw at the floor to release temporary holy flames."
"Mushroom","7cd741bd-c262-46bb-80ec-db793843e623",1,"Maybe edible mushroom."
"Mushroom","e0ce89a8-a99c-41cb-9441-02c6353a2eed",1,"Maybe edible mushroom."
"Green Shell","a0712f07-01c4-4f77-8095-369dc44f9b6f",1,"Throw at opponent to deliver a good thump on the head."
"Crowbar","eb4c21b8-a5cd-49da-b864-f5efd6778d33",1,"Gordon Freeman's weapon of choice."
"Biggs","64d6579a-5c90-4403-bea3-35283f73a5eb",1,"Red Wing soldier that bolsters your confidence."
